country,year,eq_tr,xrusd_return,eq_tr_usd,mkt_cap_pct_gdp,gdp,xrusd,mkt_cap
Australia,1871,0.11019296944141388,0.005996254592267121,0.10357564888884974,,211.56,0.3691464495849117,
Australia,1872,0.1767493039369583,0.00025019795086092035,0.17645495731735727,,227.4,0.36923880927016545,
Australia,1873,0.15168581902980804,-0.01850843767011448,0.1734036880520009,,266.54,0.3624047757834013,
Australia,1874,0.19148139655590057,0.02709312899291893,0.16005195918715476,,287.58,0.37222345512135085,
Australia,1875,0.12440787255764008,-0.030352303523035258,0.15960454157006487,,300.74,0.3609256158331147,
Australia,1876,0.11881456524133682,0.030743432084963804,0.08544428265550508,,311.26,0.3720217079912038,
Australia,1877,0.136591374874115,0.0749659798282829,0.05732776311272314,,313.66,0.39991067984815576,
Australia,1878,-0.0789373591542244,0.03166257352121126,-0.10720552970913966,,324.3,0.41257288115076557,
Australia,1879,0.12413585931062698,0.0060968027552865895,0.11732375675191475,,334.44,0.4150882566293221,
Australia,1880,0.11423738300800323,-0.006181137632562857,0.12116747347067847,,344.32,0.41252253898543567,
Australia,1881,0.07269452512264252,0.00812643901078014,0.06404760713866375,,362.82,0.415874878239073,
Australia,1882,0.09030421078205109,-0.008267755752565057,0.09939372961440474,,382.32,0.4124365263221646,
Australia,1883,0.28716498613357544,0.0017937185128671985,0.2848603084119288,,412.1,0.4131763213548113,
Australia,1884,0.04399999976158142,0.0015016092101812237,0.04243467025970715,,430.46,0.4137967507243865,
Australia,1885,0.11300000548362732,-0.0016967030663284557,0.11489164555726816,,441.62,0.41309466050859567,
Australia,1886,0.029000001028180122,-0.0023472880676807155,0.03142104333595741,,452.9,0.4121250083411612,
Australia,1887,0.28200000524520874,0.005694082298395014,0.2747415221091378,,472.52,0.41447168205588253,
Australia,1888,0.2619999945163727,-0.0037848605577688907,0.2667946355673245,,503.06,0.4129029645341571,
Australia,1889,-0.010999999940395355,-0.002734361306873156,-0.00828830184538798,,535.74,0.4117739386444417,
Australia,1890,0.0139999995008111,0.0024199880785227596,0.011552055585489107,,552.72,0.4127704266670076,
Australia,1891,-0.10399999469518661,0.0014054115314698868,-0.10525747615589354,,540.3,0.41335053898449514,
Australia,1892,0.06300000101327896,-0.0025064193679089786,0.06567101949636389,,495.7,0.4123145091878488,
Australia,1893,-0.049000002443790436,0.0020784792321524755,-0.05097253631779619,,431.1,0.4131714963323109,
Australia,1894,0.10600000619888306,-0.0018392353895844947,0.1080379488073322,,401.2,0.4124115766942889,
Australia,1895,0.20100000500679016,-0.0033188438177400763,0.20499920918256742,,385.62,0.41104284708261263,
Australia,1896,0.017000000923871994,0.0048827557172310306,0.012058367145520554,,400.82,0.4130498688942322,
Australia,1897,0.08500000089406967,-0.00020570391340280479,0.08522323556054023,,417.8,0.4129649029197701,
Australia,1898,0.1550000011920929,0.008031237102325662,0.14579782717075496,,441.24,0.4162815219700577,
Australia,1899,0.1210000067949295,-0.001835413128219882,0.12306128822713713,,477.6,0.4155174733995985,
Australia,1900,0.12200000137090683,-0.00003154920891211029,0.12203540070017027,,492.42,0.4155043641520236,
Australia,1901,-0.03200000151991844,-0.0010114195986438103,-0.031019956112836256,,504.56,0.4150841148947982,
Australia,1902,0.15600000321865082,0.0004511524895415251,0.15547870612377102,,534.66,0.4152713811266021,
Australia,1903,0.21899999678134918,0.0005902395129794753,0.21828091924490178,,515.4,0.4155164907043526,
Australia,1904,0.07500000298023224,-0.0021112322956481112,0.07727437944138305,,539.48,0.4146392388698032,
Australia,1905,0.1459999978542328,0.0005841663678992181,0.14533093404245068,,534.66,0.41488145716796226,
Australia,1906,0.10199999809265137,0.00015670785485503796,0.10182733309486136,,576.82,0.4149464723511342,
Australia,1907,0.08799999952316284,-0.007174269822797517,0.09586200926619148,,647.86,0.41196953439646916,
Australia,1908,0.17299999296665192,0.006877833063992627,0.16498740407973722,,645.46,0.41480299208149884,
Australia,1909,0.13500000536441803,-0.003008268009677723,0.13842469194662832,,690.0,0.41355515351010147,
Australia,1910,0.06700000166893005,0.0009788629854965887,0.06595657623230977,,750.22,0.41395996734233387,
Australia,1911,0.10700000077486038,0.0016811260906104551,0.10514211752725289,,823.68,0.4146558862439013,
Australia,1912,0.0860000029206276,-0.001184477182902355,0.0872878705945932,,883.88,0.41416473580788926,
Australia,1913,0.08899999409914017,-0.0007612818382505818,0.08982966162732375,,965.78,0.41384943971647487,
Australia,1914,0.11399999260902405,-0.010099320225327205,0.12536541833934245,,1040.44,0.40966984169970594,
Australia,1915,-0.03500000014901161,0.042960238313755804,-0.07474900346039304,,1009.12,0.4272693557290839,
Australia,1916,-0.03400000184774399,-0.0031648112992476367,-0.030933087934712833,,1166.88,0.42591712884425026,
Australia,1917,0.1550000011920929,-0.003305954349418981,0.15883104372132517,,1230.7,0.42450906625965557,
Australia,1918,0.07500000298023224,-0.00016712335897241078,0.07517969062162799,,1278.86,0.424438120878588,
Australia,1919,0.18700000643730164,0.07760126421173066,0.10152061421865222,,1378.82,0.4573750556384178,
Australia,1920,0.08100000023841858,0.2230919141580995,-0.11617435474380367,,1508.86,0.5594117322889597,
Australia,1921,0.19900000095367432,-0.053014149379794324,0.2661224031683451,,1664.2,0.5297549951485833,
Australia,1922,0.21299999952316284,-0.14552507105708165,0.4195852428622808,,1659.4,0.45266236183674174,
Australia,1923,0.16200000047683716,-0.03749998472915208,0.20727270861377578,,1818.34,0.435687530180402,
Australia,1924,0.13699999451637268,0.01522405769777091,0.11994981393048709,,1889.4,0.44232046227806776,
Australia,1925,0.1770000010728836,-0.06296123550441968,0.2560846420334355,,2073.6,0.41447141948415456,
