Horizon,Equities,Bonds,Bills,CPI
1,1.0,1.0,1.0,1.0
5,1.2233169691769548,1.2840384993880043,3.7494599386720235,1.9643258477202508
10,1.2529273903828415,1.6284306118176843,5.6358135877760205,2.3740117299716865
20,1.2899116877756145,1.8889823072789276,6.9710833373341465,2.598327119156738
40,1.3008226956663833,2.0231027775030617,7.6462438488958595,2.6941111947781367
