Horizon,Equities-Bonds,Equities-CPI,Bonds-CPI,Bills-CPI,Equities-Bills,Bonds-Bills
1,0.05842055467424344,0.6186285765959374,0.0232070118513107,0.06054779327104287,0.03464720033762602,0.25837712363889076
5,0.09534065574453557,0.7964256623444064,0.019343869133018943,0.04455922959439491,0.051532118755637644,0.5124390197541537
10,0.04710467576086008,0.770523744897737,0.0027310631431453312,0.022295059382730784,0.03544169504611496,0.5996096729624202
20,0.029818312983080016,0.460122283166844,-0.0008622574405916125,0.005151199767224874,0.027314202569943075,0.6286761511286381
40,0.020543181966355187,0.3116522821352351,-0.0014045410793610145,0.0027397584422579465,0.02050198984075265,0.6226268175346904
