,1-Year Mean (%),40-Year Mean (%),1-Year Vol (%),40-Year Vol (%),1-Year Sharpe,40-Year Sharpe,Variance Ratio (40yr)
Equities,12.306837048913069,10.504851887366886,36.89356105492226,3.2214514391834133,0.2106953500801199,1.8664805965346423,1.3008226956663833
Bonds,5.57268757073004,5.408159029136103,6.145249130759287,1.3520591927592525,0.16909847946741613,0.677547070860076,2.0231027775030617
Bills,4.533535286739202,4.492075283452838,3.319519867509345,1.4248851905243969,0.0,0.0,7.6462438488958595
CPI,5.656848788171747,4.350784377406334,35.9824353968169,3.3142910723663466,0.031218384444404612,-0.04263080790469532,2.6941111947781367
