year,iso,eq_tr,bond_tr,bill_rate,cpi,xrusd,eq_tr_usd,bond_tr_usd,bill_rate_usd,xrusd_return,cpi_return
1870,AUS,-0.004903895314782858,,0.04879999905824661,2.708333,0.36694614706545575,,,,,
1871,AUS,0.11019296944141388,,0.04600000008940697,2.666667,0.3691464495849117,0.10357564888884974,,0.03976530261869948,0.005996254592267121,-0.015384371124230366
1872,AUS,0.1767493039369583,,0.04600000008940697,2.541667,0.36923880927016545,0.17645495731735727,,0.04573835849497487,0.00025019795086092035,-0.046874994140625736
1873,AUS,0.15168581902980804,,0.04399999976158142,2.541667,0.3624047757834013,0.1734036880520009,,0.0636871877770524,-0.01850843767011448,0.0
1874,AUS,0.19148139655590057,,0.04500000178813934,2.666667,0.37222345512135085,0.16005195918715476,,0.017434517172535857,0.02709312899291893,0.04918032141897424
1875,AUS,0.12440787255764008,,0.04600000008940697,2.75,0.3609256158331147,0.15960454157006487,,0.07874231423418454,-0.030352303523035258,0.031249871093766153
1876,AUS,0.11881456524133682,,0.04600000008940697,2.791667,0.3720217079912038,0.08544428265550508,,0.014801518524917956,0.030743432084963804,0.015151636363636327
1877,AUS,0.136591374874115,,0.04500000178813934,2.875,0.39991067984815576,0.05732776311272314,,-0.02787621059871148,0.0749659798282829,0.02985062330141815
1878,AUS,-0.0789373591542244,,0.04800000041723251,2.833333,0.41257288115076557,-0.10720552970913966,,0.015836017817588477,0.03166257352121126,-0.014492869565217356
1879,AUS,0.12413585931062698,,0.04899999871850014,2.75,0.4150882566293221,0.11732375675191475,,0.0426432087307298,0.0060968027552865895,-0.029411650519017743
1880,AUS,0.11423738300800323,,0.04699999839067459,2.666667,0.41252253898543567,0.12116747347067847,,0.05351190044486742,-0.006181137632562857,-0.030302909090909127
1881,AUS,0.07269452512264252,,0.04699999839067459,2.625,0.415874878239073,0.06404760713866375,,0.03856020224808221,0.00812643901078014,-0.015625123046859583
1882,AUS,0.09030421078205109,,0.04500000178813934,2.666667,0.4124365263221646,0.09939372961440474,,0.05371183386411538,-0.008267755752565057,0.01587314285714282
1883,AUS,0.28716498613357544,,0.04699999839067459,2.958333,0.4131763213548113,0.2848603084119288,,0.0451253377241323,0.0017937185128671985,0.10937473632815804
1884,AUS,0.04399999976158142,,0.04899999871850014,3.0,0.4137967507243865,0.04243467025970715,,0.04742717242938621,0.0015016092101812237,0.014084621305309408
1885,AUS,0.11300000548362732,,0.04800000041723251,3.0,0.41309466050859567,0.11489164555726816,,0.049781167342836774,-0.0016967030663284557,0.0
1886,AUS,0.029000001028180122,,0.04699999839067459,3.0,0.4121250083411612,0.03142104333595741,,0.04946339128650923,-0.0023472880676807155,0.0
1887,AUS,0.28200000524520874,,0.04600000008940697,2.916667,0.41447168205588253,0.2747415221091378,,0.040077712000549326,0.005694082298395014,-0.0277776666666667
1888,AUS,0.2619999945163727,,0.04600000008940697,2.791667,0.4129029645341571,0.2667946355673245,,0.04997400528870677,-0.0037848605577688907,-0.042857137959184236
1889,AUS,-0.010999999940395355,,0.04500000178813934,2.791667,0.4117739386444417,-0.00828830184538798,,0.04786524396605718,-0.002734361306873156,0.0
1890,AUS,0.0139999995008111,,0.0430000014603138,2.791667,0.4127704266670076,0.011552055585489107,,0.04048204730990701,0.0024199880785227596,0.0
1891,AUS,-0.10399999469518661,,0.0430000014603138,2.75,0.41335053898449514,-0.10525747615589354,,0.041536214454076514,0.0014054115314698868,-0.014925490755165248
1892,AUS,0.06300000101327896,,0.0430000014603138,2.708333,0.4123145091878488,0.06567101949636389,,0.04562076559869821,-0.0025064193679089786,-0.015151636363636327
1893,AUS,-0.049000002443790436,,0.041999999433755875,2.625,0.4131714963323109,-0.05097253631779619,,0.039838716257227125,0.0020784792321524755,-0.030769111479275295
1894,AUS,0.10600000619888306,,0.039000000804662704,2.458333,0.4124115766942889,0.1080379488073322,,0.04091448756772853,-0.0018392353895844947,-0.06349219047619044
1895,AUS,0.20100000500679016,,0.035999998450279236,2.291667,0.41104284708261263,0.20499920918256742,,0.03944976989293969,-0.0033188438177400763,-0.06779634817577611
1896,AUS,0.017000000923871994,,0.032999999821186066,2.291667,0.4130498688942322,0.012058367145520554,,0.027980621564041464,0.0048827557172310306,0.0
1897,AUS,0.08500000089406967,,0.03099999949336052,2.291667,0.4129649029197701,0.08522323556054023,,0.0312121238627876,-0.00020570391340280479,0.0
1898,AUS,0.1550000011920929,,0.029999999329447746,2.25,0.4162815219700577,0.14579782717075496,,0.021793731601287725,0.008031237102325662,-0.01818196099171472
1899,AUS,0.1210000067949295,,0.03099999949336052,2.375,0.4155174733995985,0.12306128822713713,,0.03289578998638465,-0.001835413128219882,0.05555555555555555
1900,AUS,0.12200000137090683,0.01996787264943123,0.03099999949336052,2.416667,0.4155043641520236,0.12203540070017027,0.0200000528441886,0.031032527753973804,-0.00003154920891211029,0.01754399999999996
1901,AUS,-0.03200000151991844,0.0019368263892829418,0.02879999950528145,2.458333,0.4150841148947982,-0.031019956112836256,0.002951230920720027,0.02984160148452153,-0.0010114195986438103,0.01724110107019304
1902,AUS,0.15600000321865082,0.004963635001331568,0.02879999950528145,2.625,0.4152713811266021,0.15547870612377102,0.004510447612120938,0.028336063130314892,0.0004511524895415251,0.06779675495549216
1903,AUS,0.21899999678134918,-0.014857573434710503,0.031300000846385956,2.666667,0.4155164907043526,0.21828091924490178,-0.015438700416675055,0.03069164591127116,0.0005902395129794753,0.01587314285714282
1904,AUS,0.07500000298023224,0.01384330727159977,0.032499998807907104,2.541667,0.4146392388698032,0.07727437944138305,0.015988294571098738,0.034684458051550626,-0.0021112322956481112,-0.046874994140625736
1905,AUS,0.1459999978542328,0.08857621252536774,0.032499998807907104,2.541667,0.41488145716796226,0.14533093404245068,0.08794067417324625,0.03189719916902334,0.0005841663678992181,0.0
1906,AUS,0.10199999809265137,0.07954419404268265,0.032499998807907104,2.583333,0.4149464723511342,0.10182733309486136,0.07937504749440571,0.03233822329944891,0.00015670785485503796,0.016393178177943925
1907,AUS,0.08799999952316284,-0.03257241100072861,0.03189999982714653,2.583333,0.41196953439646916,0.09586200926619148,-0.02558167098811781,0.039356624694819375,-0.007174269822797517,0.0
1908,AUS,0.17299999296665192,0.051706720143556595,0.03189999982714653,2.666667,0.41480299208149884,0.16498740407973722,0.044522667604218524,0.0248512440551103,0.006877833063992627,0.032258326743009824
1909,AUS,0.13500000536441803,0.025407500565052032,0.031300000846385956,2.708333,0.41355515351010147,0.13842469194662832,0.028501508751735072,0.034411788739283855,-0.003008268009677723,0.015624748046906571
1910,AUS,0.06700000166893005,0.03399746119976044,0.031300000846385956,2.75,0.41395996734233387,0.06595657623230977,0.03298630913722134,0.03029148664583614,0.0009788629854965887,0.015384740355044928
1911,AUS,0.10700000077486038,0.02622406557202339,0.032499998807907104,2.958333,0.4146558862439013,0.10514211752725289,0.024501748951984315,0.030767149259942173,0.0016811260906104551,0.07575745454545459
1912,AUS,0.0860000029206276,0.004786519333720207,0.033799998462200165,3.208333,0.41416473580788926,0.0872878705945932,0.005978077412915672,0.035025963099202695,-0.001184477182902355,0.08450705177544245
