year,iso_domestic,iso_foreign
1924,BEL,AUS
1924,CHE,AUS
1924,DEU,AUS
1924,DNK,AUS
1924,ESP,AUS
1924,FIN,AUS
1924,FRA,AUS
1924,ITA,AUS
1924,JPN,AUS
1924,NLD,AUS
1924,NOR,AUS
1924,PRT,AUS
1924,SWE,AUS
1925,BEL,AUS
1925,CHE,AUS
1925,DEU,AUS
1925,DNK,AUS
1925,ESP,AUS
1925,FIN,AUS
1925,FRA,AUS
1925,ITA,AUS
1925,JPN,AUS
1925,NLD,AUS
1925,NOR,AUS
1925,PRT,AUS
1925,SWE,AUS
1926,BEL,AUS
1926,CHE,AUS
1926,DEU,AUS
1926,DNK,AUS
1926,ESP,AUS
1926,FIN,AUS
1926,FRA,AUS
1926,ITA,AUS
1926,JPN,AUS
1926,NLD,AUS
1926,NOR,AUS
1926,PRT,AUS
1926,SWE,AUS
1927,BEL,AUS
1927,CHE,AUS
1927,DEU,AUS
1927,DNK,AUS
1927,ESP,AUS
1927,FIN,AUS
1927,FRA,AUS
1927,ITA,AUS
1927,JPN,AUS
1927,NLD,AUS
1927,NOR,AUS
1927,PRT,AUS
1927,SWE,AUS
1928,BEL,AUS
1928,CHE,AUS
1928,DEU,AUS
1928,DNK,AUS
1928,ESP,AUS
1928,FIN,AUS
1928,FRA,AUS
1928,ITA,AUS
1928,JPN,AUS
1928,NLD,AUS
1928,NOR,AUS
1928,PRT,AUS
1928,SWE,AUS
1929,BEL,AUS
1929,CHE,AUS
1929,DEU,AUS
1929,DNK,AUS
1929,ESP,AUS
1929,FIN,AUS
1929,FRA,AUS
1929,ITA,AUS
1929,JPN,AUS
1929,NLD,AUS
1929,NOR,AUS
1929,PRT,AUS
1929,SWE,AUS
1930,BEL,AUS
1930,CHE,AUS
1930,DEU,AUS
1930,DNK,AUS
1930,ESP,AUS
1930,FIN,AUS
1930,FRA,AUS
1930,ITA,AUS
1930,JPN,AUS
1930,NLD,AUS
1930,NOR,AUS
1930,PRT,AUS
1930,SWE,AUS
1931,BEL,AUS
1931,CHE,AUS
1931,DEU,AUS
1931,DNK,AUS
1931,ESP,AUS
1931,FIN,AUS
1931,FRA,AUS
1931,ITA,AUS
1931,JPN,AUS
1931,NLD,AUS
1931,NOR,AUS
