year,iso_domestic,weights_sum_check,foreign_tr_hedged,foreign_tr_unhedged,domestic_tr,asset_class
1905,JPN,true,0.12702072567386452,0.11823964363265858,0.466028094291687,Equities
1887,FRA,true,0.02203443747689588,0.02519941886473352,0.022940820083022118,Equities
1990,BEL,true,-0.10133058917050436,-0.16820756013996072,-0.1968134641647339,Equities
1982,PRT,true,0.15009007666348503,0.5096662341356288,-0.15459665656089783,Equities
1990,FIN,true,-0.09925491342543163,-0.13788154304033717,-0.3055950403213501,Equities
1910,DEU,true,0.002137766864678054,0.005535803441010945,0.07810017466545106,Equities
2013,CHE,true,0.31295815309409936,0.2581729873608825,0.24600191414356232,Equities
1878,FRA,true,0.03782438550786313,0.046326966717539095,0.09132376313209534,Equities
1930,AUS,true,-0.1645078561797653,0.01189849037362322,-0.29600000381469727,Equities
2020,SWE,true,0.09824402026918418,-0.008025819856940824,0.1656000018119812,Equities
1958,BEL,true,0.3198115793242944,0.3144241930351829,0.16084563732147217,Equities
1986,GBR,true,0.31268882296893985,0.45272213693482677,0.27217575907707214,Equities
1900,CHE,true,0.07924205502141159,0.07695932464713331,0.06717817485332489,Equities
1998,DNK,true,0.19786333940109008,0.14629585880134416,-0.03903428465127945,Equities
1955,NLD,true,0.26531686794462794,0.2937555197076236,0.22892306745052338,Equities
1938,AUS,true,0.043760888546787335,0.04792541137969236,-0.004999999888241291,Equities
1988,DNK,true,0.17450400065524918,0.28648409376135836,0.15420204401016235,Equities
1899,FRA,true,0.06873406773106164,0.06927242677632696,0.035471394658088684,Equities
1902,NLD,true,0.06148561720520365,0.06932980872649915,0.024988284334540367,Equities
1952,FIN,true,0.13612814310495086,0.03414128840181727,-0.12833622097969055,Equities
1882,NOR,true,-0.014765547939848281,-0.020283516448778977,0.020856287330389023,Equities
1978,JPN,true,0.10515511450370521,-0.06619027667572078,0.13753899931907654,Equities
1974,AUS,true,-0.24133133980343108,-0.1294252892215807,-0.2619999945163727,Equities
1928,DNK,true,0.2752285863827477,0.2712777688352536,0.10877277702093126,Equities
1995,DEU,true,0.18143257516652922,0.10731221556659219,0.0699237659573555,Equities
1960,NOR,true,0.03800200701431325,0.04066407756158326,0.10148824751377106,Equities
2008,CHE,true,-0.38570935852588206,-0.4254936106943469,-0.3404650092124939,Equities
2020,GBR,true,0.10280119257386439,0.10984759156710248,-0.09440000355243683,Equities
1934,CHE,true,0.07164333079185717,-0.08417815941499811,-0.07246813923120499,Equities
1873,SWE,true,0.019809932828306124,0.03053052789404189,0.005714286118745804,Equities
1929,AUS,true,-0.06963062081583934,-0.02458663578247964,-0.05300000309944152,Equities
1922,FRA,true,0.22939421095518575,0.21170341653000965,0.23332425951957703,Equities
1920,PRT,true,-0.17958505019043408,1.0056922845885603,-0.07921444624662399,Equities
1996,NLD,true,0.2305207258997547,0.3050696565908445,0.4032770097255707,Equities
1988,NOR,true,0.17103563149022238,0.1978695345178738,0.3375550210475921,Equities
1937,ITA,true,-0.13128392491022223,0.18520791520045676,0.12190339714288712,Equities
1994,AUS,true,0.017605065209214597,-0.05187091598662877,-0.08810185641050337,Equities
1958,GBR,true,0.2960529471964051,0.32540369064718067,0.47742438316345215,Equities
1983,AUS,true,0.26088098289424194,0.3546892831610434,0.6370000243186951,Equities
1998,BEL,true,0.18930457200943282,0.13880365468918693,0.41247206926345825,Equities
1929,ITA,true,-0.0684912603758871,-0.06799583385930183,-0.11079128086566925,Equities
1968,PRT,true,0.1967134170912841,0.19263180019203707,0.053540345281362534,Equities
1916,AUS,true,0.11425692103761927,0.1026223622771456,-0.03400000184774399,Equities
1892,SWE,true,0.03432802672049751,0.02405665421519334,0.10843373090028763,Equities
1954,PRT,true,0.454288749293307,0.44397894722910114,0.30218052864074707,Equities
1935,DNK,true,0.25968948506447875,0.27408723354546144,0.08058654516935349,Equities
1929,CHE,true,-0.06945665391079359,-0.07419971742295803,-0.061824049800634384,Equities
2005,NLD,true,0.1616803306254022,0.24964290350629373,0.3031788468360901,Equities
1998,FRA,true,0.1911908059038131,0.14368704199041957,0.31296631693840027,Equities
1975,DNK,true,0.36631136979547074,0.4463803575138803,0.16444967687129974,Equities
2015,PRT,true,0.05442015301293446,0.14328771540495722,0.18604880571365356,Equities
1914,FIN,true,-0.02744824344341633,0.09887103745512532,0.026466386392712593,Equities
1945,USA,true,0.03688108727842692,0.017369998890941665,0.37328243255615234,Equities
1961,JPN,true,0.20434061815347787,0.18511041839020942,0.2045900523662567,Equities
1891,BEL,true,0.034087415919944034,0.03516661658639874,-0.01920868083834648,Equities
1972,NLD,true,0.2592738659685587,0.25182524015691554,0.3085682690143585,Equities
1933,SWE,true,0.31567349942152834,0.045101020585662344,0.190476194024086,Equities
1880,DNK,true,0.1640766176253931,0.16315791476971186,0.19821083545684814,Equities
1900,JPN,true,0.08382656385281245,0.08989678691344963,-0.16178876161575317,Equities
1964,CHE,true,0.10663831922529407,0.10661156881285827,-0.06931748241186142,Equities
1968,NOR,true,0.19491445338148078,0.19463086298766952,0.14181335270404816,Equities
1993,JPN,true,0.23035650835084429,0.06384975042462186,0.12972959876060486,Equities
1930,ESP,true,-0.17113953514888347,0.05354757774177228,0.004128334578126669,Equities
1913,DEU,true,-0.034203466295349004,-0.033460684958783744,0.040864042937755585,Equities
2020,PRT,true,0.10112396053166323,0.036482518212938644,0.00129098875913769,Equities
1950,CHE,true,0.21971108636221764,0.2205566580135158,0.09681397676467896,Equities
1954,AUS,true,0.45661441561553995,0.47108892875820246,0.1860000044107437,Equities
1999,NLD,true,0.2696547587606887,0.44183636933804704,0.30649200081825256,Equities
2002,CHE,true,-0.2193090587995929,-0.3090936968975239,-0.25951531529426575,Equities
1991,JPN,true,0.1677849388946367,0.07743015671211588,-0.15509459376335144,Equities
1952,PRT,true,0.12978211409650103,0.16056333632452935,0.15275737643241882,Equities
1920,AUS,true,-0.18587392774871703,-0.09614638315508885,0.08100000023841858,Equities
1940,NLD,true,0.014163198969396155,-0.03485791905103539,1.3007243871688843,Equities
2018,SWE,true,0.04320962122802186,0.12590699765366734,-0.04039999842643738,Equities
2015,CHE,true,0.05793342191876462,0.029102908460918103,0.026751631870865822,Equities
1906,GBR,true,0.09584336602473306,0.10236152694057295,0.09630001336336136,Equities
1933,ITA,true,0.3119942349129482,0.17375273642073422,0.35110485553741455,Equities
1989,AUS,true,0.2574421431907612,0.2926283771141146,0.17899999022483826,Equities
1957,FIN,true,-0.04899940668424039,0.00748666867024729,-0.15161383152008054,Equities
2000,DEU,true,-0.01842804339750198,0.014418930581809097,-0.09912479668855667,Equities
2012,PRT,true,0.15319453707721986,0.1338502462799852,0.07692946493625641,Equities
1929,PRT,true,-0.06813105561460565,-0.07273270797446646,-0.12906178832054138,Equities
2009,JPN,true,0.3168406325107478,0.3920036483944936,-0.24992184340953827,Equities
1887,USA,true,0.031625955452651386,0.028937595583763933,-0.021276595070958138,Equities
1921,ESP,true,0.050534041002943314,0.24809073066546322,-0.050043996423482895,Equities
1992,DNK,true,0.03075366739313612,0.038416341231374516,-0.06935238093137741,Equities
1930,NLD,true,-0.16641755968257774,-0.1735689694243106,-0.20957300066947937,Equities
2005,JPN,true,0.1658814681626184,0.23799451106067718,0.15390020608901978,Equities
1954,FRA,true,0.43426235209279346,0.42882652674452915,1.1585566997528076,Equities
