,Cash,Bonds,Equities,CPI
Cash,0.0007481779549046024,0.001078896784639852,-0.00011635835004312758,1.3935844853974177e-05
Bonds,0.001078896784639852,0.0032702978546417117,-0.00015073310998656907,-0.0002597278414265604
Equities,-0.00011635835004312758,-0.00015073310998656907,0.01928771532128754,-0.0005125433453173866
CPI,1.3935844853974177e-05,-0.0002597278414265604,-0.0005125433453173866,0.0002569570464515283
