,cash,bonds,equities,cpi
1995-01-01,0.007507945199999977,0.01627472472234781,-0.015318207140373241,0.003984105820773243
1995-02-01,0.007141917800000064,0.021075077175389145,0.015420236987284675,0.003984105820773243
1995-03-01,0.007737260300000104,0.01912140558979769,0.0007104055636966145,0.003984105820773243
1995-04-01,0.007397260300000097,0.01799448931793468,0.021751943917141636,0.0033222835420891883
1995-05-01,0.0077287670999999225,0.03464010910049331,0.007067432276714358,0.0033222835420891883
1995-06-01,0.007397260300000097,0.005076554814129164,-0.00967774220959916,0.0033222835420891883
1995-07-01,0.007584383600000022,0.008576844772932413,0.04276872924836295,0.000666222715391962
1995-08-01,0.008204383600000087,0.011873785438303308,0.02429018586418996,0.000666222715391962
1995-09-01,0.0076191780999999015,0.016127559132812053,0.0071611135983979946,0.000666222715391962
1995-10-01,0.00701534249999991,0.017616158606750032,-0.009182290838762097,0.0019960132802336883
1995-11-01,0.007187671200000079,0.02166353019309164,0.022750651087297236,0.0019960132802336883
1995-12-01,0.007580136999999931,0.011817492535324492,0.023403981080314384,0.0019960132802336883
1996-01-01,0.007533424700000069,0.012924284853662371,-0.0018516970039559322,0.0016638965793120963
1996-02-01,0.006864657499999982,-0.012471804585873603,0.013112625685728574,0.0016638965793120963
1996-03-01,0.007618356200000065,0.003926248415020428,0.011403987531271698,0.0016638965793120963
1996-04-01,0.007890410999999764,0.0045815809291811505,0.0273863844193194,0.002659586992916907
1996-05-01,0.008340274000000036,0.007286629187678528,0.0037308472253130276,0.002659586992916907
1996-06-01,0.008297260299999998,0.01352409877234173,-0.0030037644922854545,0.002659586992916907
1996-07-01,0.00852287670000007,0.013385603707782412,-0.03262170557454225,0.0019960132802336883
1996-08-01,0.008493150699999896,0.012614787824742235,0.02636669067831554,0.0019960132802336883
1996-09-01,0.008219178100000057,0.02324104502851676,0.012101772061603233,0.0019960132802336883
1996-10-01,0.007970821900000091,0.02723794449343475,0.007749685618666513,0.0023279099634261335
1996-11-01,0.007615068500000044,0.022616257370031256,0.034798090897760314,0.0023279099634261335
1996-12-01,0.006769041100000095,0.00024853030796179176,0.002389884136153153,0.0023279099634261335
1997-01-01,0.006335890399999933,0.00856462172026462,0.02864224426451223,-0.0010010016700073843
1997-02-01,0.005864657500000092,0.006112811628956827,-0.002755743552249279,-0.0010010016700073843
1997-03-01,0.0064802739999998415,-0.006815990642665026,-0.017004042155447374,-0.0010010016700073843
