,MortgageInterest,HousePrice
1997-12-31,0.10239091289313437,0.07345413165928849
1998-12-31,0.1026693280427102,0.04802036905666851
1999-12-31,0.07337931427380481,-0.06394191409927508
2000-12-31,0.08886135075535925,0.07342179898205559
2001-12-31,0.0850225837203302,0.12123327341756451
2002-12-31,0.08152456862278587,0.1044407310107871
2003-12-31,0.08069233142077678,0.13398565046909594
2004-12-31,0.08528901471706105,0.2004797987518765
2005-12-31,0.09510315654583554,0.19686654394800462
2006-12-31,0.09995044963887786,0.2485605853736108
2007-12-31,0.10621279004828652,-0.04283858751448044
2008-12-31,0.10442729158170236,-0.2076621929189285
2009-12-31,0.05619904579118781,0.11823982603419991
2010-12-31,0.054952736408531794,0.034231685517673416
2011-12-31,0.0534136491466419,0.11192754772605462
2012-12-31,0.0525467182081851,0.205253127011922
2013-12-31,0.052484427738268974,0.03920514394214436
2014-12-31,0.058705456572007514,0.24216645654988156
2015-12-31,0.0590425230300555,0.14495198971065415
2016-12-31,0.049176456245171946,0.027342055591222714
2017-12-31,0.0449896564923464,0.12790256569287672
2018-12-31,0.0449896564923464,0.09842104587604816
2019-12-31,0.0413431533639865,0.31252573919995785
2020-12-31,0.03153606491960656,0.04410099068867179
2021-12-31,0.03085430975272538,0.02892045839027091
2022-12-31,0.049929586404255905,-0.22303689079851308
2023-12-31,0.07947627521032438,0.05478776029943355
2024-12-31,0.08001539633258134,-0.030301081788819517
2025-12-31,0.04706318928172101,0.02317688242340843
